旅宿名稱	來源	Google地圖評分
漫步綠洲旅店	臺北旅遊網住宿資料	4.6
?朗旅宿	臺北旅遊網住宿資料	查無資料
晶棧行旅	臺北旅遊網住宿資料	4.5
茶色部屋行旅 站前館	臺北旅遊網住宿資料	查無資料
合洋背包客棧	臺北旅遊網住宿資料	3.6
在家行旅南西館	臺北旅遊網住宿資料	查無資料
雀客藏居台北內湖	臺北旅遊網住宿資料	查無資料
鉑泊客2館	臺北旅遊網住宿資料	4.2
太子文旅-修齊館	臺北旅遊網住宿資料	4.5
美好行旅北車漢口館	臺北旅遊網住宿資料	4.4
古奈堡精品旅館	臺北旅遊網住宿資料	4.1
臺北嘉佩樂酒店 Capella Taipei	臺北旅遊網住宿資料	4.8
捷絲旅臺大尊賢館	臺北旅遊網住宿資料	4.6
天雲旅棧台北開封	臺北旅遊網住宿資料	4.4
樂爾公寓	臺北旅遊網住宿資料	4.6
貓尾口袋（西門館）	臺北旅遊網住宿資料	4.8
北投晶泉丰旅	臺北旅遊網住宿資料	4.9
享住青旅	臺北旅遊網住宿資料	4.7
大光瀛商旅	臺北旅遊網住宿資料	查無資料
日光樂居成都館	臺北旅遊網住宿資料	4.1
頭等艙飯店西門館	臺北旅遊網住宿資料	查無資料
梧邸酒店台北杭州	臺北旅遊網住宿資料	4.2
台北大安伊普索酒店	臺北旅遊網住宿資料	4.4
美好行旅	臺北旅遊網住宿資料	查無資料
金通商旅	臺北旅遊網住宿資料	查無資料
日初青旅	臺北旅遊網住宿資料	4.8
藝築文旅昆明館	臺北旅遊網住宿資料	3
豐宿創新壹旅	臺北旅遊網住宿資料	查無資料
歐法行旅	臺北旅遊網住宿資料	3.8
美好境界旅店	臺北旅遊網住宿資料	4.3
福泰桔子商務旅館西門漢中店	臺北旅遊網住宿資料	查無資料
瀚寓夏天	臺北旅遊網住宿資料	4.8
日光樂居	臺北旅遊網住宿資料	4.1
客憩旅宿	臺北旅遊網住宿資料	4
天閣酒店(台北林森)	臺北旅遊網住宿資料	查無資料
相鐵飯店台北西門	臺北旅遊網住宿資料	4.7
柯達大飯店台北南京	臺北旅遊網住宿資料	4.3
台北漢來大飯店	臺北旅遊網住宿資料	4.5
福華國際文教會館	臺北旅遊網住宿資料	4.2
家美瑞品 台北	臺北旅遊網住宿資料	4.1
宏洲旅社	臺北旅遊網住宿資料	4.5
金弘旅社	臺北旅遊網住宿資料	3.5
西門雲町旅店	臺北旅遊網住宿資料	查無資料
台灣西鐵國際旅館	臺北旅遊網住宿資料	4.6
成都壹壹壹商旅	臺北旅遊網住宿資料	查無資料
摩莎曼拉商務旅館-西門館	臺北旅遊網住宿資料	3.5
全界精品旅館	臺北旅遊網住宿資料	
陸號行旅西門館	臺北旅遊網住宿資料	3.6
慶爾喜旅館西門捷運館2.4	臺北旅遊網住宿資料	2.4
見潭璞旅	臺北旅遊網住宿資料	4.3
天母之星商務會館	臺北旅遊網住宿資料	4.3
台北棧	臺北旅遊網住宿資料	4.3
番茄行旅	臺北旅遊網住宿資料	4.9
台北西門窩青年旅館	臺北旅遊網住宿資料	3.8
珂曼旅館	臺北旅遊網住宿資料	4.5
葛瑞絲商旅敦北館	臺北旅遊網住宿資料	4.4
米窩飯店-松山	臺北旅遊網住宿資料	4
陸號行旅中華館	臺北旅遊網住宿資料	查無資料
苓旅旅館萬年館	臺北旅遊網住宿資料	3.6
慕誠行旅	臺北旅遊網住宿資料	4.3
侘侘行旅	臺北旅遊網住宿資料	查無資料
希爾商旅台北館	臺北旅遊網住宿資料	查無資料
雀客快捷台北永康	臺北旅遊網住宿資料	4.5
米窩飯店-站前	臺北旅遊網住宿資料	查無資料
喜園旅館	臺北旅遊網住宿資料	3.1
北投會館-北捷行旅	臺北旅遊網住宿資料	4.6
城市商旅北門二館	臺北旅遊網住宿資料	4
安捷國際公寓酒店	臺北旅遊網住宿資料	4.3
陸號行旅萬年館	臺北旅遊網住宿資料	3.9
星西門行旅	臺北旅遊網住宿資料	3.9
寒居酒店 Humble Boutique Hotel	臺北旅遊網住宿資料	4.6
日野苑	臺北旅遊網住宿資料	4.3
城市商旅德立莊二館	臺北旅遊網住宿資料	查無資料
雅齊旅館	臺北旅遊網住宿資料	4.6
雀客藏居台北南港	臺北旅遊網住宿資料	4.2
時尚居商旅	臺北旅遊網住宿資料	4.7
森浩文旅-STEP INN	臺北旅遊網住宿資料	4.5
承攜行旅台北八德館	臺北旅遊網住宿資料	4.3
漢普頓酒店	臺北旅遊網住宿資料	4.7
格拉斯麗台北飯店	臺北旅遊網住宿資料	4.5
藝築文旅台北站前館	臺北旅遊網住宿資料	4.1
JR東日本大飯店台北	臺北旅遊網住宿資料	4.5
和苑三井花園飯店 台北忠孝	臺北旅遊網住宿資料	4.5
路徒PLUS行旅-站前館	臺北旅遊網住宿資料	查無資料
米窩飯店-西門	臺北旅遊網住宿資料	4.1
悅心旅	臺北旅遊網住宿資料	4.5
聖雄商旅	臺北旅遊網住宿資料	查無資料
趣西門旅店	臺北旅遊網住宿資料	3.3
慶爾喜旅館	臺北旅遊網住宿資料	查無資料
在家行旅	臺北旅遊網住宿資料	4.6
柯達大飯店台北林森	臺北旅遊網住宿資料	4.6
旅城驛鎮	臺北旅遊網住宿資料	4.8
瑞絲逸旅店	臺北旅遊網住宿資料	4.1
大欣大飯店	臺北旅遊網住宿資料	3.7
大湖璞旅	臺北旅遊網住宿資料	4.5
豪城商旅民生館	臺北旅遊網住宿資料	4.8
玉璽精品飯店	臺北旅遊網住宿資料	3.8
雀客旅館台北站前	臺北旅遊網住宿資料	4.3
盤古捷旅	臺北旅遊網住宿資料	4.4
白色空間設計旅店	臺北旅遊網住宿資料	
路徒PLUS行旅-主題館	臺北旅遊網住宿資料	
台北時代寓所	臺北旅遊網住宿資料	
百樂匯大飯店	臺北旅遊網住宿資料	
晴悅旅店	臺北旅遊網住宿資料	
旅家雅舍	臺北旅遊網住宿資料	
所在行旅	臺北旅遊網住宿資料	
同一大飯店	臺北旅遊網住宿資料	
美亞商旅	臺北旅遊網住宿資料	
天閣酒店台北士林	臺北旅遊網住宿資料	
日好青旅	臺北旅遊網住宿資料	
藝築文旅開封館	臺北旅遊網住宿資料	
野趣光延旅館	臺北旅遊網住宿資料	
和旅瓏旅館西門館	臺北旅遊網住宿資料	
町記憶旅店3館	臺北旅遊網住宿資料	
配普特行旅	臺北旅遊網住宿資料	
台北大直英迪格酒店	臺北旅遊網住宿資料	
瀚寓酒店	臺北旅遊網住宿資料	
MVSA 慕舍酒店	臺北旅遊網住宿資料	
天雲旅棧台北中山	臺北旅遊網住宿資料	
華達大飯店	臺北旅遊網住宿資料	
城市商旅站前館	臺北旅遊網住宿資料	
日光拾玖	臺北旅遊網住宿資料	
甲山林湯旅JSL hotel	臺北旅遊網住宿資料	
丹居青旅	臺北旅遊網住宿資料	
小角落旅店	臺北旅遊網住宿資料	
門草行旅	臺北旅遊網住宿資料	
野趣旅舍 T.O.HOTEL	臺北旅遊網住宿資料	
玩行旅 台北館	臺北旅遊網住宿資料	
南港老爺行旅	臺北旅遊網住宿資料	
碩城文旅	臺北旅遊網住宿資料	
金普頓大安酒店	臺北旅遊網住宿資料	
晶城青年旅館	臺北旅遊網住宿資料	
松河璞旅	臺北旅遊網住宿資料	
幸福蘋果旅店	臺北旅遊網住宿資料	
109 Inn Taipei 台北109旅店	臺北旅遊網住宿資料	
雅璞文旅	臺北旅遊網住宿資料	
美侖商旅	臺北旅遊網住宿資料	
艾爾行旅	臺北旅遊網住宿資料	
台北中山九昱希爾頓逸林酒店	臺北旅遊網住宿資料	
天閣酒店台北劍潭	臺北旅遊網住宿資料	
凱旋酒店	臺北旅遊網住宿資料	
台北國泰萬怡酒店	臺北旅遊網住宿資料	
漫步1948	臺北旅遊網住宿資料	
門埕青旅	臺北旅遊網住宿資料	
皇家玫瑰旅館新生館	臺北旅遊網住宿資料	
九昱晴美	臺北旅遊網住宿資料	
正是旅館	臺北旅遊網住宿資料	
拉開門輕旅	臺北旅遊網住宿資料	
沃客汽車旅館	臺北旅遊網住宿資料	
懷特豪斯青年旅舍	臺北旅遊網住宿資料	
義華酒店	臺北旅遊網住宿資料	
五月家青旅 北車館	臺北旅遊網住宿資料	
陽明山美國渡假村	臺北旅遊網住宿資料	
宜家居商旅	臺北旅遊網住宿資料	
城鄉旅坊台北	臺北旅遊網住宿資料	
天成文旅 華山町	臺北旅遊網住宿資料	
台北士林萬麗酒店	臺北旅遊網住宿資料	
果芒驛站旅店	臺北旅遊網住宿資料	
福爾摩莎北驛旅館	臺北旅遊網住宿資料	
苓旅松山小巨蛋館	臺北旅遊網住宿資料	
台北宿之酒店．臻品之選	臺北旅遊網住宿資料	
米窩飯店-大安	臺北旅遊網住宿資料	
吉泰旅店	臺北旅遊網住宿資料	
木文陶喜時尚旅館	臺北旅遊網住宿資料	
謙匯普樂室行旅	臺北旅遊網住宿資料	
台北五號商旅	臺北旅遊網住宿資料	
睡覺盒子旅館	臺北旅遊網住宿資料	
泊居旅店	臺北旅遊網住宿資料	
慶爾喜旅館長沙一館	臺北旅遊網住宿資料	
慶爾喜旅館長沙二館	臺北旅遊網住宿資料	
城市商旅 北門館	臺北旅遊網住宿資料	
智慧環境會館-菁山遊憩區	臺北旅遊網住宿資料	
合星旅館	臺北旅遊網住宿資料	
和昌商務旅館台北西門館	臺北旅遊網住宿資料	
漫映旅舍	臺北旅遊網住宿資料	
南陽街壹號旅店	臺北旅遊網住宿資料	
富裕自由旅店林森館	臺北旅遊網住宿資料	
儷客旅店-站前店	臺北旅遊網住宿資料	
文舺行旅	臺北旅遊網住宿資料	
阿樹國際旅店	臺北旅遊網住宿資料	
台北這地方微旅店	臺北旅遊網住宿資料	
台灣柒天精品旅店	臺北旅遊網住宿資料	
謙商旅(谷墨商旅-師大館)	臺北旅遊網住宿資料	
台北臥客旅店	臺北旅遊網住宿資料	
凱達大飯店	臺北旅遊網住宿資料	
旅樂序精品旅館五館	臺北旅遊網住宿資料	
亞太飯店 北投館	臺北旅遊網住宿資料	
美好行旅北車重慶館	臺北旅遊網住宿資料	
台北中山雅樂軒酒店	臺北旅遊網住宿資料	
皇家玫瑰旅館 雙城館	臺北旅遊網住宿資料	
世民酒店台北北門	臺北旅遊網住宿資料	
旅晨行旅	臺北旅遊網住宿資料	
町記憶旅店2館	臺北旅遊網住宿資料	
尚美精旅	臺北旅遊網住宿資料	
柯達大飯店 台北長安	臺北旅遊網住宿資料	
愛玩客旅店	臺北旅遊網住宿資料	
陽光士林珮柏旅館	臺北旅遊網住宿資料	
洛碁大飯店南港館	臺北旅遊網住宿資料	
樂山水靜旅館 OrigInn	臺北旅遊網住宿資料	
東旅	臺北旅遊網住宿資料	
錦棧商旅	臺北旅遊網住宿資料	
瑪奇商務旅店	臺北旅遊網住宿資料	
東驛 E-HOUSE	臺北旅遊網住宿資料	
柯達大飯店台北天津	臺北旅遊網住宿資料	
台北北投雅樂軒酒店	臺北旅遊網住宿資料	
旅樂序精品旅館二館	臺北旅遊網住宿資料	
東門3號膠囊旅店	臺北旅遊網住宿資料	
皇后旅店二館	臺北旅遊網住宿資料	
朗司旅館	臺北旅遊網住宿資料	
仲信大湖商旅	臺北旅遊網住宿資料	
台灣青旅	臺北旅遊網住宿資料	
夾腳拖的家長安122	臺北旅遊網住宿資料	
涪美飯店	臺北旅遊網住宿資料	
在家行旅西門館	臺北旅遊網住宿資料	
進綵商旅	臺北旅遊網住宿資料	
帛堯初見輕旅	臺北旅遊網住宿資料	
大安公園旅店	臺北旅遊網住宿資料	
禾裕 北車	臺北旅遊網住宿資料	
卡夫人背包客棧	臺北旅遊網住宿資料	
碩美精品飯店	臺北旅遊網住宿資料	
城市商旅昆明館（HOTEL PAPA WHALE）	臺北旅遊網住宿資料	
詩漫精品旅館	臺北旅遊網住宿資料	
斯格加旅店	臺北旅遊網住宿資料	
台北北門窩泊旅	臺北旅遊網住宿資料	
旅城驛鎮南京二館	臺北旅遊網住宿資料	
背包棧旅店-台北長春店	臺北旅遊網住宿資料	
洛碁大飯店忠孝館	臺北旅遊網住宿資料	
漫旅時光	臺北旅遊網住宿資料	
旅樂序精品旅館三館	臺北旅遊網住宿資料	
路徒行旅-中華館	臺北旅遊網住宿資料	
日日吉旅店	臺北旅遊網住宿資料	
楓?微笑會館	臺北旅遊網住宿資料	
洛碁大飯店松山館	臺北旅遊網住宿資料	
綺樂文旅 開封館	臺北旅遊網住宿資料	
趣旅館•林森館	臺北旅遊網住宿資料	
台北松山意舍酒店	臺北旅遊網住宿資料	
寧夏2號旅店	臺北旅遊網住宿資料	
米尼旅店	臺北旅遊網住宿資料	
丰居旅店北車館	臺北旅遊網住宿資料	
清翼居旅店采風館	臺北旅遊網住宿資料	
禾順行旅	臺北旅遊網住宿資料	
麗之湯別館	臺北旅遊網住宿資料	
西門希爾商旅	臺北旅遊網住宿資料	
丰居旅店忠孝館	臺北旅遊網住宿資料	
姆提文創旅店	臺北旅遊網住宿資料	
怡品商旅	臺北旅遊網住宿資料	
台北天晴旅店	臺北旅遊網住宿資料	
峻美精旅	臺北旅遊網住宿資料	
天雲旅棧台北基河	臺北旅遊網住宿資料	
方舟旅店 長安復興	臺北旅遊網住宿資料	
藝宿商旅	臺北旅遊網住宿資料	
天使青旅	臺北旅遊網住宿資料	
能量旅店	臺北旅遊網住宿資料	
家賓大旅社	臺北旅遊網住宿資料	
洛碁大飯店南京館	臺北旅遊網住宿資料	
甄美精品商旅	臺北旅遊網住宿資料	
沃客商旅-西門館	臺北旅遊網住宿資料	
壹零壹艾美琪旅店	臺北旅遊網住宿資料	
台北美福大飯店	臺北旅遊網住宿資料	
台北六福萬怡酒店	臺北旅遊網住宿資料	
福爾摩莎壹零壹旅館	臺北旅遊網住宿資料	
二十輪旅店大安店	臺北旅遊網住宿資料	
台北發現青年旅舍	臺北旅遊網住宿資料	
約克旅店	臺北旅遊網住宿資料	
鉑泊客	臺北旅遊網住宿資料	
町記憶旅店	臺北旅遊網住宿資料	
城市商旅德立莊分館	臺北旅遊網住宿資料	
雀客旅館台北南京	臺北旅遊網住宿資料	
清翼居旅店童話館	臺北旅遊網住宿資料	
賦樂旅居	臺北旅遊網住宿資料	
艾特文旅	臺北旅遊網住宿資料	
浩室物業1館	臺北旅遊網住宿資料	
三二行館	臺北旅遊網住宿資料	
東楓商旅	臺北旅遊網住宿資料	
台北萬豪酒店	臺北旅遊網住宿資料	
朵兒旅館	臺北旅遊網住宿資料	
新驛旅店復興北路店	臺北旅遊網住宿資料	
北門臥客青年旅舍	臺北旅遊網住宿資料	
綺樂文旅 康定館	臺北旅遊網住宿資料	
?美精旅	臺北旅遊網住宿資料	
小公館人文旅舍	臺北旅遊網住宿資料	
台北中山意舍酒店	臺北旅遊網住宿資料	
互舍商旅台北館	臺北旅遊網住宿資料	
品格子旅店西門館	臺北旅遊網住宿資料	
天閣酒店台北復興	臺北旅遊網住宿資料	
豪景大酒店新館	臺北旅遊網住宿資料	
承攜行旅台北復北館	臺北旅遊網住宿資料	
瘋台北青旅	臺北旅遊網住宿資料	
沃田旅店	臺北旅遊網住宿資料	
凡登商旅●二館	臺北旅遊網住宿資料	
松哖酒店	臺北旅遊網住宿資料	
北投老爺酒店	臺北旅遊網住宿資料	
誠品行旅	臺北旅遊網住宿資料	
思泊客	臺北旅遊網住宿資料	
洛碁大飯店驛	臺北旅遊網住宿資料	
皇家玫瑰旅館西門館	臺北旅遊網住宿資料	
首都大飯店松山館	臺北旅遊網住宿資料	
有誠商旅	臺北旅遊網住宿資料	
拾光行旅	臺北旅遊網住宿資料	
千彩格精品旅店　	臺北旅遊網住宿資料	
昇美精旅	臺北旅遊網住宿資料	
信星旅館	臺北旅遊網住宿資料	
卡樂町旅店	臺北旅遊網住宿資料	
安庭澔思青年旅舍	臺北旅遊網住宿資料	
雀客旅館　	臺北旅遊網住宿資料	
大地清旅	臺北旅遊網住宿資料	
台北文華東方酒店	臺北旅遊網住宿資料	
昌亞旅館	臺北旅遊網住宿資料	
皇家玫瑰旅館站前館	臺北旅遊網住宿資料	
儷夏旅館-西寧館	臺北旅遊網住宿資料	
台北漫步旅店	臺北旅遊網住宿資料	
洛碁大飯店中華館	臺北旅遊網住宿資料	
復新文旅	臺北旅遊網住宿資料	
台北慕軒飯店，臻品之選	臺北旅遊網住宿資料	
途中•台北國際青年旅舍	臺北旅遊網住宿資料	
龍蝦先生的秘密巢穴	臺北旅遊網住宿資料	
旅樂序精品旅館	臺北旅遊網住宿資料	
蜂巢 Bee House	臺北旅遊網住宿資料	
丰居旅店雙連館	臺北旅遊網住宿資料	
方舟旅店	臺北旅遊網住宿資料	
酩月大飯店	臺北旅遊網住宿資料	
明星大飯店	臺北旅遊網住宿資料	
橙舍青年旅館（臺北二館）	臺北旅遊網住宿資料	
台北艾麗酒店	臺北旅遊網住宿資料	
皇家玫瑰旅館中山館	臺北旅遊網住宿資料	
和逸 台北忠孝館	臺北旅遊網住宿資料	
路境行旅-府前館	臺北旅遊網住宿資料	
品格子旅店	臺北旅遊網住宿資料	
尚印旅店-二?	臺北旅遊網住宿資料	
華泰瑞舍	臺北旅遊網住宿資料	
謙商旅-東門館	臺北旅遊網住宿資料	
和逸．台北民生館	臺北旅遊網住宿資料	
大師會館國際酒店	臺北旅遊網住宿資料	
老爺會館台北林森	臺北旅遊網住宿資料	
意芙旅店	臺北旅遊網住宿資料	
三隻老虎青年旅館	臺北旅遊網住宿資料	
柯達大飯店台北松江	臺北旅遊網住宿資料	
西悠巢旅台北館	臺北旅遊網住宿資料	
東驛商務旅館	臺北旅遊網住宿資料	
天閣酒店(台北長安)	臺北旅遊網住宿資料	
富裕自由商旅	臺北旅遊網住宿資料	
福泰桔子商務旅館西門店	臺北旅遊網住宿資料	
台北馥華商旅敦北館	臺北旅遊網住宿資料	
儷夏商旅	臺北旅遊網住宿資料	
台糖台北會館	臺北旅遊網住宿資料	
WESTGATE HOTEL 永安棧	臺北旅遊網住宿資料	
北投天玥泉溫泉會館	臺北旅遊網住宿資料	
世方旅居文旅	臺北旅遊網住宿資料	
東棧商務旅店	臺北旅遊網住宿資料	
新麗旅店	臺北旅遊網住宿資料	
西門邑居自由旅行會館	臺北旅遊網住宿資料	
長弘時尚旅店	臺北旅遊網住宿資料	
俞美飯店	臺北旅遊網住宿資料	
尚印旅店	臺北旅遊網住宿資料	
洛碁大飯店建北館	臺北旅遊網住宿資料	
橙舍背包客國際青年旅館	臺北旅遊網住宿資料	
六福居	臺北旅遊網住宿資料	
西門星辰大飯店	臺北旅遊網住宿資料	
西門星辰精典大飯店	臺北旅遊網住宿資料	
大倉久和大飯店	臺北旅遊網住宿資料	
承攜行旅台北信義館	臺北旅遊網住宿資料	
洛碁大飯店舞衣南京館	臺北旅遊網住宿資料	
薆悅酒店	臺北旅遊網住宿資料	
台北世聯商旅	臺北旅遊網住宿資料	
香樹花園酒店	臺北旅遊網住宿資料	
西門航棧旅館	臺北旅遊網住宿資料	
瑞沂國際飯店	臺北旅遊網住宿資料	
台北西門町意舍酒店	臺北旅遊網住宿資料	
銀座飯店	臺北旅遊網住宿資料	
富驛時尚酒店　	臺北旅遊網住宿資料	
二十輪旅店	臺北旅遊網住宿資料	
璞漣商務旅館西門店	臺北旅遊網住宿資料	
柯達大飯店敦南店	臺北旅遊網住宿資料	
探索汽車旅館延平館	臺北旅遊網住宿資料	
意寬精品旅館 HOME HOTEL	臺北旅遊網住宿資料	
洛碁大飯店林森館	臺北旅遊網住宿資料	
雀客快捷台北車站	臺北旅遊網住宿資料	
雀客旅館台北內湖	臺北旅遊網住宿資料	
北投麗禧溫泉酒店	臺北旅遊網住宿資料	
城市商旅南東館	臺北旅遊網住宿資料	
台北W飯店	臺北旅遊網住宿資料	
天閣酒店(台北南西)	臺北旅遊網住宿資料	
