旅宿名稱	來源	Google地圖評分
丹迪旅店-天母店	臺北市一般旅館名冊	
馥麗精品旅館	臺北市一般旅館名冊	
天閣酒店台北信義	臺北市一般旅館名冊	
伊倫商務旅館	臺北市一般旅館名冊	
茹曦酒店	臺北市一般旅館名冊	
太豪大飯店	臺北市一般旅館名冊	
香城大飯店豪悅分店	臺北市一般旅館名冊	
溫拿旅館	臺北市一般旅館名冊	
金來商旅	臺北市一般旅館名冊	
維多麗亞酒店	臺北市一般旅館名冊	
友徠精品旅館	臺北市一般旅館名冊	
寶格利時尚旅館	臺北市一般旅館名冊	
多郎明哥旅館	臺北市一般旅館名冊	
大地酒店	臺北市一般旅館名冊	
華弘怡亨酒店	臺北市一般旅館名冊	
台北青年國際旅館	臺北市一般旅館名冊	
三二行館	臺北市一般旅館名冊	
神旺商務酒店	臺北市一般旅館名冊	
宏都金殿大飯店	臺北市一般旅館名冊	
富逸旅趣-北車開封館	臺北市一般旅館名冊	
采舍精品旅館	臺北市一般旅館名冊	
東鑫商務旅館	臺北市一般旅館名冊	
小王子甜蜜旅店	臺北市一般旅館名冊	
柔美商旅	臺北市一般旅館名冊	
皇家季節酒店2館	臺北市一般旅館名冊	
新舍商旅-林森館	臺北市一般旅館名冊	
宜津美侖大飯店	臺北市一般旅館名冊	
璽愛旅店	臺北市一般旅館名冊	
薇閣精品旅館	臺北市一般旅館名冊	
正二旅館	臺北市一般旅館名冊	
同一大飯店	臺北市一般旅館名冊	
旅居文旅-西門驛站	臺北市一般旅館名冊	
沐蘭精品旅館	臺北市一般旅館名冊	
捷絲旅西門町店	臺北市一般旅館名冊	
探索汽車旅館南港館	臺北市一般旅館名冊	
家美瑞品 台北	臺北市一般旅館名冊	
臺北車站智選假日酒店	臺北市一般旅館名冊	
豪爵旅館	臺北市一般旅館名冊	
鼎正國際商務旅館	臺北市一般旅館名冊	
西門大飯店西寧館	臺北市一般旅館名冊	
雀客藏居台北南港	臺北市一般旅館名冊	
金都精緻溫泉飯店	臺北市一般旅館名冊	
新驛旅店台北車站三館	臺北市一般旅館名冊	
新驛旅店西門捷運店	臺北市一般旅館名冊	
立德北投溫泉飯店	臺北市一般旅館名冊	
雀客旅館台北信義	臺北市一般旅館名冊	
台北馥華商旅南港館	臺北市一般旅館名冊	
東門大旅社	臺北市一般旅館名冊	
天閣酒店(台北南西)	臺北市一般旅館名冊	
城市商旅南東館	臺北市一般旅館名冊	
雀客旅館台北內湖	臺北市一般旅館名冊	
洛碁大飯店林森館	臺北市一般旅館名冊	
探索汽車旅館延平館	臺北市一般旅館名冊	
意寬精品旅館 HOME HOTEL	臺北市一般旅館名冊	
柯達大飯店敦南店	臺北市一般旅館名冊	
二十輪旅店	臺北市一般旅館名冊	
富驛時尚酒店　	臺北市一般旅館名冊	
台北西門町意舍酒店	臺北市一般旅館名冊	
西門航棧旅館	臺北市一般旅館名冊	
香樹花園酒店	臺北市一般旅館名冊	
薆悅酒店	臺北市一般旅館名冊	
洛碁大飯店舞衣南京館	臺北市一般旅館名冊	
承攜行旅台北信義館	臺北市一般旅館名冊	
大倉久和大飯店	臺北市一般旅館名冊	
西門星辰精典大飯店	臺北市一般旅館名冊	
西門星辰大飯店	臺北市一般旅館名冊	
六福居	臺北市一般旅館名冊	
橙舍背包客國際青年旅館	臺北市一般旅館名冊	
洛碁大飯店建北館	臺北市一般旅館名冊	
尚印旅店	臺北市一般旅館名冊	
俞美飯店	臺北市一般旅館名冊	
長弘時尚旅店	臺北市一般旅館名冊	
西門邑居自由旅行會館	臺北市一般旅館名冊	
新麗旅店	臺北市一般旅館名冊	
東棧商務旅店	臺北市一般旅館名冊	
世方旅居文旅	臺北市一般旅館名冊	
北投天玥泉溫泉會館	臺北市一般旅館名冊	
WESTGATE HOTEL 永安棧	臺北市一般旅館名冊	
儷夏商旅	臺北市一般旅館名冊	
台糖台北會館	臺北市一般旅館名冊	
台北馥華商旅敦北館	臺北市一般旅館名冊	
福泰桔子商務旅館西門店	臺北市一般旅館名冊	
富裕自由商旅	臺北市一般旅館名冊	
天閣酒店(台北長安) 	臺北市一般旅館名冊	
東驛商務旅館	臺北市一般旅館名冊	
西悠巢旅台北館	臺北市一般旅館名冊	
柯達大飯店台北松江 	臺北市一般旅館名冊	
三隻老虎青年旅館	臺北市一般旅館名冊	
意芙旅店	臺北市一般旅館名冊	
老爺會館台北林森	臺北市一般旅館名冊	
大師會館國際酒店	臺北市一般旅館名冊	
和逸．台北民生館	臺北市一般旅館名冊	
謙商旅-東門館	臺北市一般旅館名冊	
華泰瑞舍	臺北市一般旅館名冊	
尚印旅店-二?	臺北市一般旅館名冊	
品格子旅店	臺北市一般旅館名冊	
路境行旅-府前館	臺北市一般旅館名冊	
和逸 台北忠孝館	臺北市一般旅館名冊	
皇家玫瑰旅館中山館	臺北市一般旅館名冊	
明星大飯店	臺北市一般旅館名冊	
橙舍青年旅館（臺北二館）	臺北市一般旅館名冊	
酩月大飯店	臺北市一般旅館名冊	
方舟旅店	臺北市一般旅館名冊	
丰居旅店雙連館	臺北市一般旅館名冊	
蜂巢 Bee House	臺北市一般旅館名冊	
旅樂序精品旅館	臺北市一般旅館名冊	
龍蝦先生的秘密巢穴	臺北市一般旅館名冊	
途中•台北國際青年旅舍	臺北市一般旅館名冊	
台北慕軒飯店，臻品之選	臺北市一般旅館名冊	
復新文旅 	臺北市一般旅館名冊	
洛碁大飯店中華館	臺北市一般旅館名冊	
台北漫步旅店	臺北市一般旅館名冊	
儷夏旅館-西寧館	臺北市一般旅館名冊	
皇家玫瑰旅館站前館	臺北市一般旅館名冊	
昌亞旅館	臺北市一般旅館名冊	
台北文華東方酒店	臺北市一般旅館名冊	
大地清旅	臺北市一般旅館名冊	
雀客旅館　	臺北市一般旅館名冊	
安庭澔思青年旅舍	臺北市一般旅館名冊	
卡樂町旅店	臺北市一般旅館名冊	
信星旅館	臺北市一般旅館名冊	
昇美精旅	臺北市一般旅館名冊	
千彩格精品旅店　	臺北市一般旅館名冊	
有誠商旅	臺北市一般旅館名冊	
拾光行旅	臺北市一般旅館名冊	
首都大飯店松山館	臺北市一般旅館名冊	
皇家玫瑰旅館西門館	臺北市一般旅館名冊	
洛碁大飯店驛	臺北市一般旅館名冊	
思泊客	臺北市一般旅館名冊	
誠品行旅	臺北市一般旅館名冊	
松哖酒店	臺北市一般旅館名冊	
台北西門窩青年旅館	臺北市一般旅館名冊	
凡登商旅●二館	臺北市一般旅館名冊	
沃田旅店	臺北市一般旅館名冊	
承攜行旅台北復北館	臺北市一般旅館名冊	
瘋台北青旅	臺北市一般旅館名冊	
豪景大酒店新館	臺北市一般旅館名冊	
天閣酒店台北復興	臺北市一般旅館名冊	
互舍商旅台北館	臺北市一般旅館名冊	
品格子旅店西門館	臺北市一般旅館名冊	
台北中山意舍酒店	臺北市一般旅館名冊	
小公館人文旅舍	臺北市一般旅館名冊	
?美精旅	臺北市一般旅館名冊	
綺樂文旅 康定館	臺北市一般旅館名冊	
北門臥客青年旅舍	臺北市一般旅館名冊	
新驛旅店復興北路店	臺北市一般旅館名冊	
朵兒旅館	臺北市一般旅館名冊	
東楓商旅	臺北市一般旅館名冊	
浩室物業1館	臺北市一般旅館名冊	
艾特文旅	臺北市一般旅館名冊	
賦樂旅居	臺北市一般旅館名冊	
清翼居旅店童話館	臺北市一般旅館名冊	
城市商旅德立莊分館	臺北市一般旅館名冊	
町記憶旅店	臺北市一般旅館名冊	
鉑泊客	臺北市一般旅館名冊	
約克旅店	臺北市一般旅館名冊	
台北發現青年旅舍	臺北市一般旅館名冊	
二十輪旅店大安店	臺北市一般旅館名冊	
福爾摩莎壹零壹旅館	臺北市一般旅館名冊	
台北六福萬怡酒店	臺北市一般旅館名冊	
番茄行旅	臺北市一般旅館名冊	
壹零壹艾美琪旅店	臺北市一般旅館名冊	
沃客商旅-西門館	臺北市一般旅館名冊	
甄美精品商旅	臺北市一般旅館名冊	
天使青旅	臺北市一般旅館名冊	
能量旅店	臺北市一般旅館名冊	
洛碁大飯店南京館	臺北市一般旅館名冊	
藝宿商旅	臺北市一般旅館名冊	
方舟旅店 長安復興	臺北市一般旅館名冊	
峻美精旅	臺北市一般旅館名冊	
天雲旅棧台北基河	臺北市一般旅館名冊	
台北天晴旅店	臺北市一般旅館名冊	
丰居旅店忠孝館	臺北市一般旅館名冊	
怡品商旅	臺北市一般旅館名冊	
姆提文創旅店	臺北市一般旅館名冊	
禾順行旅	臺北市一般旅館名冊	
清翼居旅店采風館	臺北市一般旅館名冊	
丰居旅店北車館	臺北市一般旅館名冊	
米尼旅店	臺北市一般旅館名冊	
寧夏2號旅店	臺北市一般旅館名冊	
台北松山意舍酒店	臺北市一般旅館名冊	
趣旅館•林森館	臺北市一般旅館名冊	
綺樂文旅 開封館	臺北市一般旅館名冊	
洛碁大飯店松山館	臺北市一般旅館名冊	
獅城旅館	臺北市一般旅館名冊	
日日吉旅店	臺北市一般旅館名冊	
路徒行旅-中華館	臺北市一般旅館名冊	
旅樂序精品旅館三館	臺北市一般旅館名冊	
漫旅時光	臺北市一般旅館名冊	
洛碁大飯店忠孝館	臺北市一般旅館名冊	
旅城驛鎮南京二館	臺北市一般旅館名冊	
背包棧旅店-台北長春店	臺北市一般旅館名冊	
台北北門窩泊旅	臺北市一般旅館名冊	
斯格加旅店	臺北市一般旅館名冊	
詩漫精品旅館	臺北市一般旅館名冊	
城市商旅昆明館（HOTEL PAPA WHALE）	臺北市一般旅館名冊	
碩美精品飯店	臺北市一般旅館名冊	
卡夫人背包客棧	臺北市一般旅館名冊	
禾裕 北車	臺北市一般旅館名冊	
大安公園旅店	臺北市一般旅館名冊	
帛堯初見輕旅	臺北市一般旅館名冊	
進綵商旅	臺北市一般旅館名冊	
在家行旅西門館	臺北市一般旅館名冊	
涪美飯店	臺北市一般旅館名冊	
台灣青旅	臺北市一般旅館名冊	
夾腳拖的家長安122	臺北市一般旅館名冊	
仲信大湖商旅	臺北市一般旅館名冊	
朗司旅館	臺北市一般旅館名冊	
皇后旅店二館	臺北市一般旅館名冊	
旅樂序精品旅館二館	臺北市一般旅館名冊	
東門3號膠囊旅店	臺北市一般旅館名冊	
台北北投雅樂軒酒店	臺北市一般旅館名冊	
柯達大飯店台北天津 	臺北市一般旅館名冊	
東驛 E-HOUSE	臺北市一般旅館名冊	
錦棧商旅	臺北市一般旅館名冊	
東旅	臺北市一般旅館名冊	
樂山水靜旅館 OrigInn	臺北市一般旅館名冊	
洛碁大飯店南港館	臺北市一般旅館名冊	
陽光士林珮柏旅館	臺北市一般旅館名冊	
侘侘行旅	臺北市一般旅館名冊	
愛玩客旅店	臺北市一般旅館名冊	
柯達大飯店 台北長安	臺北市一般旅館名冊	
尚美精旅	臺北市一般旅館名冊	
慕誠行旅	臺北市一般旅館名冊	
町記憶旅店2館	臺北市一般旅館名冊	
旅晨行旅	臺北市一般旅館名冊	
世民酒店台北北門	臺北市一般旅館名冊	
皇家玫瑰旅館 雙城館	臺北市一般旅館名冊	
美好行旅北車重慶館	臺北市一般旅館名冊	
亞太飯店 北投館	臺北市一般旅館名冊	
旅樂序精品旅館五館	臺北市一般旅館名冊	
凱達大飯店	臺北市一般旅館名冊	
台北臥客旅店	臺北市一般旅館名冊	
台灣柒天精品旅店	臺北市一般旅館名冊	
謙商旅(谷墨商旅-師大館)	臺北市一般旅館名冊	
台北這地方微旅店	臺北市一般旅館名冊	
阿樹國際旅店	臺北市一般旅館名冊	
文舺行旅	臺北市一般旅館名冊	
儷客旅店-站前店	臺北市一般旅館名冊	
富裕自由旅店林森館	臺北市一般旅館名冊	
南陽街壹號旅店	臺北市一般旅館名冊	
漫映旅舍	臺北市一般旅館名冊	
和昌商務旅館台北西門館	臺北市一般旅館名冊	
合星旅館	臺北市一般旅館名冊	
智慧環境會館-菁山遊憩區	臺北市一般旅館名冊	
城市商旅 北門館	臺北市一般旅館名冊	
慶爾喜旅館長沙一館	臺北市一般旅館名冊	
慶爾喜旅館長沙二館	臺北市一般旅館名冊	
泊居旅店	臺北市一般旅館名冊	
睡覺盒子旅館	臺北市一般旅館名冊	
台北五號商旅	臺北市一般旅館名冊	
謙匯普樂室行旅	臺北市一般旅館名冊	
木文陶喜時尚旅館	臺北市一般旅館名冊	
吉泰旅店	臺北市一般旅館名冊	
米窩飯店-大安	臺北市一般旅館名冊	
台北宿之酒店．臻品之選	臺北市一般旅館名冊	
苓旅松山小巨蛋館	臺北市一般旅館名冊	
福爾摩莎北驛旅館	臺北市一般旅館名冊	
果芒驛站旅店	臺北市一般旅館名冊	
台北士林萬麗酒店	臺北市一般旅館名冊	
天成文旅 華山町	臺北市一般旅館名冊	
城鄉旅坊台北	臺北市一般旅館名冊	
宜家居商旅	臺北市一般旅館名冊	
陽明山美國渡假村	臺北市一般旅館名冊	
五月家青旅 北車館	臺北市一般旅館名冊	
懷特豪斯青年旅舍	臺北市一般旅館名冊	
沃客汽車旅館	臺北市一般旅館名冊	
拉開門輕旅	臺北市一般旅館名冊	
正是旅館	臺北市一般旅館名冊	
九昱晴美 	臺北市一般旅館名冊	
皇家玫瑰旅館新生館	臺北市一般旅館名冊	
門埕青旅	臺北市一般旅館名冊	
漫步1948	臺北市一般旅館名冊	
台北國泰萬怡酒店 	臺北市一般旅館名冊	
凱旋酒店	臺北市一般旅館名冊	
天閣酒店台北劍潭	臺北市一般旅館名冊	
台北中山九昱希爾頓逸林酒店	臺北市一般旅館名冊	
艾爾行旅	臺北市一般旅館名冊	
美侖商旅	臺北市一般旅館名冊	
雅璞文旅	臺北市一般旅館名冊	
109 Inn Taipei 台北109旅店	臺北市一般旅館名冊	
幸福蘋果旅店	臺北市一般旅館名冊	
松河璞旅	臺北市一般旅館名冊	
金普頓大安酒店	臺北市一般旅館名冊	
碩城文旅	臺北市一般旅館名冊	
南港老爺行旅	臺北市一般旅館名冊	
玩行旅 台北館	臺北市一般旅館名冊	
野趣旅舍 T.O.HOTEL	臺北市一般旅館名冊	
門草行旅	臺北市一般旅館名冊	
小角落旅店	臺北市一般旅館名冊	
丹居青旅	臺北市一般旅館名冊	
甲山林湯旅JSL hotel	臺北市一般旅館名冊	
日光拾玖	臺北市一般旅館名冊	
洛碁三貝茲	臺北市一般旅館名冊	
城市商旅站前館	臺北市一般旅館名冊	
華達大飯店 	臺北市一般旅館名冊	
豪城商旅民生館	臺北市一般旅館名冊	
天雲旅棧台北中山	臺北市一般旅館名冊	
MVSA 慕舍酒店	臺北市一般旅館名冊	
瀚寓酒店	臺北市一般旅館名冊	
台北大直英迪格酒店	臺北市一般旅館名冊	
配普特行旅	臺北市一般旅館名冊	
町記憶旅店3館	臺北市一般旅館名冊	
苓旅旅館中山館	臺北市一般旅館名冊	
和旅瓏旅館西門館	臺北市一般旅館名冊	
野趣光延旅館	臺北市一般旅館名冊	
藝築文旅開封館	臺北市一般旅館名冊	
日好青旅	臺北市一般旅館名冊	
盤古捷旅	臺北市一般旅館名冊	
天閣酒店台北士林	臺北市一般旅館名冊	
美亞商旅	臺北市一般旅館名冊	
和苑三井花園飯店  台北忠孝	臺北市一般旅館名冊	
所在行旅	臺北市一般旅館名冊	
旅家雅舍	臺北市一般旅館名冊	
路徒PLUS行旅-主題館	臺北市一般旅館名冊	
台北時代寓所	臺北市一般旅館名冊	
白色空間設計旅店	臺北市一般旅館名冊	
雀客旅館台北站前	臺北市一般旅館名冊	
玉璽精品飯店	臺北市一般旅館名冊	
大湖璞旅	臺北市一般旅館名冊	
瑞絲逸旅店	臺北市一般旅館名冊	
旅城驛鎮	臺北市一般旅館名冊	
柯達大飯店台北林森	臺北市一般旅館名冊	
森浩文旅-STEP INN	臺北市一般旅館名冊	
趣西門旅店	臺北市一般旅館名冊	
慶爾喜旅館	臺北市一般旅館名冊	
悅心旅	臺北市一般旅館名冊	
路徒PLUS行旅-站前館 	臺北市一般旅館名冊	
米窩飯店-西門	臺北市一般旅館名冊	
藝築文旅台北站前館	臺北市一般旅館名冊	
格拉斯麗台北飯店	臺北市一般旅館名冊	
見潭璞旅	臺北市一般旅館名冊	
時尚居商旅	臺北市一般旅館名冊	
雅齊旅館	臺北市一般旅館名冊	
城市商旅德立莊二館	臺北市一般旅館名冊	
日野苑	臺北市一般旅館名冊	
寒居酒店 Humble Boutique Hotel	臺北市一般旅館名冊	
星西門行旅	臺北市一般旅館名冊	
陸號行旅萬年館	臺北市一般旅館名冊	
北投會館-北捷行旅	臺北市一般旅館名冊	
喜園旅館	臺北市一般旅館名冊	
安捷國際公寓酒店	臺北市一般旅館名冊	
城市商旅北門二館	臺北市一般旅館名冊	
西門希爾商旅	臺北市一般旅館名冊	
米窩飯店-站前	臺北市一般旅館名冊	
雀客快捷台北永康	臺北市一般旅館名冊	
希爾商旅台北館	臺北市一般旅館名冊	
陸號行旅中華館	臺北市一般旅館名冊	
苓旅旅館萬年館	臺北市一般旅館名冊	
葛瑞絲商旅敦北館 	臺北市一般旅館名冊	
珂曼旅館	臺北市一般旅館名冊	
台北棧	臺北市一般旅館名冊	
天母之星商務會館	臺北市一般旅館名冊	
慶爾喜旅館西門捷運館	臺北市一般旅館名冊	
陸號行旅西門館	臺北市一般旅館名冊	
全界精品旅館	臺北市一般旅館名冊	
摩莎曼拉商務旅館-西門館	臺北市一般旅館名冊	
成都壹壹壹商旅	臺北市一般旅館名冊	
優美飯店	臺北市一般旅館名冊	
台灣西鐵國際旅館	臺北市一般旅館名冊	
西門雲町旅店	臺北市一般旅館名冊	
福華國際文教會館	臺北市一般旅館名冊	
聖雄商旅	臺北市一般旅館名冊	
柯達大飯店台北南京	臺北市一般旅館名冊	
晶城青年旅館	臺北市一般旅館名冊	
相鐵飯店台北西門	臺北市一般旅館名冊	
客憩旅宿	臺北市一般旅館名冊	
日光樂居	臺北市一般旅館名冊	
瀚寓夏天	臺北市一般旅館名冊	
福泰桔子商務旅館西門漢中店	臺北市一般旅館名冊	
美好境界旅店	臺北市一般旅館名冊	
歐法行旅	臺北市一般旅館名冊	
豐宿創新壹旅	臺北市一般旅館名冊	
藝築文旅昆明館	臺北市一般旅館名冊	
日初青旅	臺北市一般旅館名冊	
金通商旅	臺北市一般旅館名冊	
美好行旅	臺北市一般旅館名冊	
台北大安伊普索酒店	臺北市一般旅館名冊	
梧邸酒店台北杭州	臺北市一般旅館名冊	
頭等艙飯店西門館	臺北市一般旅館名冊	
日光樂居成都館	臺北市一般旅館名冊	
大光瀛商旅	臺北市一般旅館名冊	
享住青旅	臺北市一般旅館名冊	
北投晶泉丰旅	臺北市一般旅館名冊	
貓尾口袋（西門館）	臺北市一般旅館名冊	
天雲旅棧台北開封	臺北市一般旅館名冊	
捷絲旅臺大尊賢館	臺北市一般旅館名冊	
臺北嘉佩樂酒店 Capella Taipei	臺北市一般旅館名冊	
古奈堡精品旅館	臺北市一般旅館名冊	
美好行旅北車漢口館	臺北市一般旅館名冊	
太子文旅-修齊館	臺北市一般旅館名冊	
鉑泊客2館	臺北市一般旅館名冊	
雀客藏居台北內湖	臺北市一般旅館名冊	
在家行旅南西館	臺北市一般旅館名冊	
合洋背包客棧	臺北市一般旅館名冊	
茶色部屋行旅 站前館	臺北市一般旅館名冊	
晶棧行旅	臺北市一般旅館名冊	
?朗旅宿	臺北市一般旅館名冊	
漫步綠洲旅店	臺北市一般旅館名冊	
